gate_id,capability,criterion,required_output,source_refs
gate_a,row_operations_elimination_lu,"Solve two systems by elimination and explain each pivot step as a row operation; include one \(A=LU\) connection.","Worked solutions plus a short explanation of pivot meaning.",""
gate_b,matrix_multiplication_inverses_transposes,"Compute products, inverses, and transposes in small examples; include a check that \(AA^{-1}=I\).","Three solved examples with row/column and composition interpretation.",""
gate_c,vector_spaces_subspaces,"Classify 10 candidate subsets using closure under addition, scalar multiplication, and the zero vector.","A table of 10 subsets with yes/no classification and justification.","/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/review/Exercises/2.1.1.md;/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/review/Exercises/2.1.2.md"
gate_d,column_space_nullspace_solvability,"For three matrices, find \(C(A)\), \(N(A)\), and the condition on \(b\) for \(Ax=b\) to be solvable.","Three complete analyses with bases and solvability condition.","/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/review/Lecture 6/README.md"
gate_e,rref_rank_free_variables,"Reduce two rectangular matrices to \(R\), identify pivot/free variables, state rank, and write a basis for \(N(A)\).","Two reductions with special solutions and nullspace basis.","/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/review/Lecture 7/README.md"
gate_f,complete_solutions_axb,"Classify the four rank cases and write \(x=x_p+x_n\) whenever the system is consistent.","A four-case table plus two worked \(Ax=b\) examples.","/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/review/Lecture 8/README.md"
gate_g,independence_span_basis_dimension,"Given five vector sets, decide independence, span, basis, and dimension using rank and nullspace evidence.","Five classifications with rank/nullspace evidence.","/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/review/Lecture 9.md"
gate_h,four_fundamental_subspaces,"For two matrices, compute bases and dimensions for \(C(A)\), \(N(A)\), \(C(A^T)\), and \(N(A^T)\).","Two full four-subspace tables checked with rank-nullity.","/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/review/Lecture 10.md"
gate_i,orthogonality_projections_least_squares_qr,"Solve a projection and least-squares problem; explain \(A^TA\hat{x}=A^Tb\) and one \(QR\) view.","Projection diagram or explanation plus least-squares computation.",""
gate_j,determinants,"Compute determinants by row operations and cofactors; explain signed volume scaling.","Three determinant computations and one conceptual explanation.",""
gate_k,eigenvalues_diagonalization_applications,"Find eigenvalues/eigenvectors, diagonalize when possible, and use \(A^k\) or \(e^{At}\) in one application.","Two diagonalization examples and one application.",""
gate_l,symmetric_positive_definite,"Check positive definiteness with pivots, eigenvalues, and quadratic forms; explain \(x^TAx>0\).","Three checks of the same matrix where possible, plus interpretation.",""
gate_m,complex_matrices_fft,"Handle complex inner products and compute one small Fourier matrix example.","One complex inner-product example and one Fourier matrix computation.",""
gate_n,similar_matrices_jordan_form,"Identify similarity invariants and explain Jordan form in a non-diagonalizable example.","One similarity check and one Jordan-form explanation.",""
gate_o,svd_change_of_basis_image_compression,"Compute an SVD for a small matrix and explain a rank-\(k\) approximation.","Small SVD computation and approximation explanation.",""
gate_p,linear_transformations_pseudoinverse,"Build a matrix from a linear transformation and solve one problem using \(A^+\).","One transformation matrix and one pseudoinverse solution.",""

