capability,status,level,evidence,next_gate,source_refs
row_operations_elimination_lu,WATCH,3,"Lecture 7 review uses elimination, echelon form, rank, and \(U\); earlier lecture PDFs are indexed.",gate_a,"/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/review/Lecture 7.md;/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/review/Lecture 7/README.md"
matrix_multiplication_inverses_transposes,TRAIN,2,"Course sources for Lectures 2-5 are indexed, but no gated personal review is present yet.",gate_b,""
vector_spaces_subspaces,PASS,4,"Day 1 submitted work correctly classifies 10 candidate subsets with zero-vector and closure evidence.",gate_c,"/Users/aloschilov/training-workspace/mit-1806-skill-stack/artifacts/submissions/day01/mit_day1_solution.pdf;/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/review/Exercises/2.1.2.md"
column_space_nullspace_solvability,PASS,4,"Day 1 submitted work finds \(C(A)\), \(N(A)\), and solvability conditions for three Gate D matrices.",gate_d,"/Users/aloschilov/training-workspace/mit-1806-skill-stack/artifacts/submissions/day01/mit_day1_solution.pdf;/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/review/Lecture 6/README.md"
rref_rank_free_variables,PASS,4,"Day 2 submitted work reduces \(B_1\) and \(B_2\) to RREF, identifies pivot/free variables and rank, and writes special-solution bases for \(N(A)\).",gate_e,"/Users/aloschilov/training-workspace/mit-1806-skill-stack/artifacts/submissions/day02/mit_day2_solution.pdf;/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/review/Lecture 7/05-rref-first-example.md;/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/review/Lecture 7/06-nullspace-matrix.md"
complete_solutions_axb,PASS,4,"Day 3 submitted work checks consistency, finds \(x_p\), writes complete solutions \(x=x_p+x_n\), and classifies the four rank cases.",gate_f,"/Users/aloschilov/training-workspace/mit-1806-skill-stack/artifacts/submissions/day03/mit_day3_solution.pdf;/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/review/Lecture 8/README.md;/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/review/Lecture 8/04-complete-solution.md"
independence_span_basis_dimension,TRAIN,2,"Lecture 9 rough notes exist, but the concept has not passed a gate.",gate_g,"/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/review/Lecture 9.md"
four_fundamental_subspaces,TRAIN,2,"Lecture 10 rough notes exist; no explicit gate is recorded.",gate_h,"/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/review/Lecture 10.md"
orthogonality_projections_least_squares_qr,NEW,0,"Lectures 14-17 are indexed, but no personal review evidence is recorded.",gate_i,""
determinants,NEW,0,"Lectures 18-20 are indexed.",gate_j,""
eigenvalues_diagonalization_applications,NEW,0,"Lectures 21-24 are indexed.",gate_k,""
symmetric_positive_definite,NEW,0,"Lectures 25 and 27 are indexed.",gate_l,""
complex_matrices_fft,NEW,0,"Lecture 26 is indexed.",gate_m,""
similar_matrices_jordan_form,NEW,0,"Lecture 28 is indexed.",gate_n,""
svd_change_of_basis_image_compression,NEW,0,"Lectures 29-31 are indexed.",gate_o,""
linear_transformations_pseudoinverse,NEW,0,"Lectures 30 and 33 are indexed.",gate_p,""
